HIP id,Vmag,RA (deg),Dec (deg),Par(mas),(B-V),Sp class,,
9884,2.01,31.79285757,23.46277743,49.48,1.15,K2III,,
3419,2.04,10.89678452,-17.9866841,34.04,1.02,K0III,,
5447,2.07,17.43248991,35.62083048,16.36,1.58,M0IIIvar,,
3179,2.24,10.12661349,56.53740928,14.27,1.17,K0II-IIIvar,,
746,2.28,2.29204036,59.15021814,59.89,0.38,F2III-IV,,
6686,2.66,21.45251267,60.23540347,32.81,0.16,A5Vv SB,,
2021,2.82,6.41334183,-77.25503511,133.78,0.62,G2IV,,
8796,3.42,28.27041595,29.57939727,50.87,0.49,F6IV,,
5364,3.46,17.14693197,-10.181928,27.73,1.16,K2III,,
8102,3.49,26.02136441,-15.93955597,274.17,0.73,G8V,,
7607,3.59,24.49792651,48.62848641,18.76,1.27,K3III,,
6537,3.6,21.00604671,-8.18275372,28.48,1.06,K0III,,
2072,3.93,6.55048418,-43.67990933,42.51,0.17,A7V,,
9598,3.95,30.85912643,72.42123962,20.12,0,A2V,,
3693,4.08,11.83495908,24.26737703,17.98,1.1,K1II,,
7513,4.1,24.19990413,41.40638491,74.25,0.54,F8V,,
1599,4.23,5.00797581,-64.8776232,116.38,0.58,F9V,,
5372,4.24,17.18399735,86.25711803,10.43,1.21,K2II-III,,
3031,4.34,9.63958024,29.312369,19.34,0.87,G5III...,,
5542,4.34,17.77471116,55.14994765,23.73,0.17,A7Vvar,,
2484,4.36,7.88566992,-62.95808549,23.35,-0.06,B9V,,
1473,4.51,4.58210555,36.7853273,23.11,0.05,A2V,,
5586,4.51,17.91494471,30.08972962,20.11,1.09,K0III-IV...,,
4422,4.62,14.16671042,59.18116582,15.84,0.96,G8III-IV,,
8497,4.66,27.39662961,-10.68618074,42.35,0.33,F3III,,
7294,4.68,23.48302496,59.23209665,15.96,0.99,K0III,,
6692,4.72,21.48293404,68.12994739,16.89,1.05,K0III,,
2472,4.76,7.85356695,-48.80356171,18.97,0.02,A0V,,
9977,4.78,32.12144102,37.85918337,16.48,0.12,A5IV-V,,
9153,4.79,29.48239763,23.5960961,24.49,0.29,F0V,,
4151,4.8,13.26783051,61.12355735,53.85,0.54,F8V,,
6813,4.83,21.9128547,45.40695287,35.33,0.42,F5IV,,
6411,4.87,20.58497087,45.5287566,16.68,1.08,K0III-IV,,
910,4.89,2.81628415,-15.46732287,52.94,0.49,F5V,,
3414,4.95,10.8670447,47.02463657,18.71,0.17,A5V,,
5862,4.97,18.79403213,-45.53209717,66.43,0.57,F8V,,
5317,5.04,17.00299391,43.94224107,16.61,0.11,A3m,,
8241,5.04,26.52557865,-53.52218065,17.54,0.03,A1V,,
2578,5.07,8.18247614,-63.03137868,21.52,0.04,A0V,,
3810,5.07,12.2446238,16.9411337,41.8,0.5,F8V...,,
5799,5.14,18.59986241,-7.9235004,41.01,0.45,F5V,,
1686,5.16,5.28010785,37.96869954,20.42,0.44,F5III,,
2381,5.17,7.59446346,-23.78771429,18.08,0.13,A3V,,
3909,5.17,12.53218487,-10.64377045,64.69,0.51,F7IV-V,,
8016,5.18,25.73220374,70.62255881,11.62,-0.02,B9V,,
2355,5.2,7.53056566,29.75169567,17.62,0.27,A7III,,
3505,5.22,11.18515547,-22.00633247,35.92,0.35,F0V,,
950,5.24,2.93286698,-35.13339606,45.85,0.46,F3/F5V,,
3949,5.24,12.67136689,-50.98692422,13.06,0.36,F2III,,
814,5.29,2.50945435,-82.22399743,13.45,1.05,K1/K2III,,
9312,5.29,29.90828959,64.62163894,12.69,0,A0Vn,,
6706,5.35,21.56366085,19.17232096,38.35,0.4,F2V:var,,
5268,5.36,16.82738598,-61.77526197,11.68,0.88,G5III,,
3330,5.38,10.61790472,-65.46813002,24.59,0.52,F6V,,
4890,5.39,15.7049656,-46.39733801,13.86,0.9,G8III,,
4293,5.45,13.75124739,-69.52697888,15.52,1.1,G7III,,
1647,5.5,5.16267858,-69.62491154,10.65,-0.05,B9V,,
2802,5.51,8.92139531,-48.00066027,27.61,0.46,F6V,,
6748,5.51,21.71481835,-13.05653391,27.55,0.32,F0V,,
7978,5.52,25.62146258,-53.7405747,57.63,0.55,F8V,,
2711,5.57,8.61506261,-52.37318294,39.03,0.47,F3IV-V,,
9313,5.57,29.91189289,-42.03028941,12.55,1.05,K1III,,
5626,5.6,18.06878934,79.67397492,11.98,0.01,A3V,,
6514,5.6,20.91898254,37.71499034,15.43,0.28,A1m,,
7345,5.62,23.65717247,-15.6763527,16.32,0.07,A1V,,
8362,5.63,26.9336011,63.85310111,100.24,0.8,K0V,,
3572,5.64,11.4129637,74.9881262,11.24,0.08,A2IV,,
5081,5.64,16.27229777,14.94600386,18.28,0.42,F4II-III,,
5493,5.67,17.57852966,42.08157668,18.98,0.6,F8V,,
194,5.7,0.62398938,8.48557854,26.53,0.32,F0V,,
522,5.7,1.5777634,-49.07509405,39,0.52,G1IV...,,
5833,5.7,18.70491873,-0.97429411,22.79,0.43,F5V,,
1086,5.71,3.37889713,41.03572671,28.57,0.33,F0IV,,
5296,5.71,16.94216802,-9.78559168,20.97,0.45,F7IV,,
3277,5.72,10.44292464,-56.50145475,15.29,0.13,Ap,,
3765,5.74,12.09388786,5.28338873,134.04,0.89,K2V,,
7276,5.75,23.42805448,-7.02514279,33.71,0.64,G2IV,,
8433,5.78,27.17366149,32.68948705,36.65,0.57,F8V,,
3583,5.8,11.43930832,-47.55217573,66.92,0.64,G5IV,,
873,5.84,2.67810574,-12.57980381,15.35,1,K0III,,
3093,5.88,9.84206107,21.2513739,90.03,0.85,K0V,,
7601,5.88,24.47908355,-82.97528876,36.86,0.62,G2V,,
3170,5.89,10.10273354,-59.45568115,39.26,0.56,G1V,,
9353,5.89,30.03760293,3.09763527,32.18,0.61,G2IV,,
8588,5.92,27.71672491,11.0434459,23.46,0.3,F2Vw,,
2787,5.94,8.88645754,-0.50545908,17.97,0.44,F5IV,,
3521,5.94,11.23801546,-42.67632489,15.01,0.3,A7V,,
8593,5.94,27.72699465,-50.20612713,13.37,0.15,A1V,,
7447,5.95,23.97777176,17.43378965,16.75,0.26,F0IV,,
8598,5.96,27.73786884,51.93369809,22.42,0.42,F5V,,
6711,5.98,21.57749566,43.45788606,24.21,0.52,F7V,,
3352,5.99,10.67349903,-60.26268184,13.73,1.32,K5III,,
4552,5.99,14.55914315,33.95105921,17.19,1,K0,,
3436,6.01,10.9587023,-12.01130744,18.76,1.11,K1III,,
7387,6.03,23.81128987,-58.13939438,24.72,0.38,F2V,,
2789,6.04,8.88881583,-54.82174811,12.88,1,K0IV,,
2235,6.05,7.08346734,10.1903414,27.51,0.45,F6Vawvar,,
8366,6.05,26.94453905,-80.17616913,16.13,0.34,F0III,,
2852,6.06,9.02876061,-22.84221094,20.12,0.3,A5m...,,
4979,6.06,15.95398626,1.36694516,17.66,0.27,F1V,,
544,6.07,1.65221045,29.02193518,72.98,0.75,K0V,,
8983,6.07,28.9436084,-60.86113745,21.5,0.36,F0IV/V,,
9085,6.1,29.24856719,-51.76685008,37.97,0.49,F8V,,
3185,6.14,10.13501584,-23.80399309,35.02,0.72,G3/G5V,,
2337,6.15,7.46586901,-14.86402653,23.62,0.39,F2/F3V,,
3527,6.15,11.24883557,-53.71490037,22.09,0.52,F7III,,
3559,6.15,11.36961318,-12.88030968,31.39,0.6,G2V,,
8991,6.15,28.9593779,-78.34867741,24.2,0.45,F5/F6IV/V,,
2422,6.18,7.72581643,77.01948785,25.37,0.88,K0IV,,
560,6.19,1.70843563,-23.10742543,25.59,0.39,F2IV,,
5034,6.2,16.11487415,29.65909865,23.82,0.44,F7IV-V,,
7874,6.2,25.32624343,25.74581125,17.86,0.46,F2III,,
7886,6.2,25.36368452,-38.1329641,23.87,0.4,F3/F5IV/V,,
699,6.21,2.17092314,36.62742794,30.26,0.5,F8IV,,
5319,6.23,17.00501793,32.01219214,23.87,0.4,F5IV,,
5947,6.27,19.12932621,79.90986944,13.84,0.44,F5Vs,,
6776,6.27,21.7758949,34.37757818,23.45,0.45,F7IVsvar,,
8159,6.27,26.23271918,20.08340568,30.71,0.72,G5IV,,
6512,6.28,20.90546597,34.24560145,16.98,0.83,G8IV,,
2832,6.32,8.97867189,13.20750244,26.59,0.52,F7V,,
6312,6.33,20.27160602,64.65818814,13.67,0.11,A2Vnn,,
8044,6.33,25.81828533,45.32263641,18.04,1.02,K2IV,,
8370,6.33,26.95001171,46.2298846,17.15,0.46,F6V,,
6702,6.34,21.53590855,34.57990693,26.14,0.5,F7V,,
7819,6.34,25.14535993,8.76076486,17.99,0.4,F2,,
6486,6.36,20.83863463,58.14321418,17.34,0.46,F4V,,
6378,6.37,20.49558059,76.23888764,13.04,0.28,F0IVn,,
3132,6.38,9.94897859,82.4935747,30.95,0.55,F6V:,,
3965,6.38,12.73860936,51.50803371,15,0.31,F2IV,,
8233,6.38,26.50414338,-27.34872151,23.16,0.37,F2V,,
1803,6.39,5.71480399,-12.20958506,49.05,0.66,G3V,,
3641,6.39,11.65929285,69.32537127,24.65,0.42,F3V,,
6794,6.42,21.86110539,41.10109784,17.91,0.31,Am...,,
9094,6.42,29.29093654,-10.24183649,29.43,0.82,G5,,
7443,6.43,23.96083226,-39.94700724,26.54,0.41,F3/F5V,,
5315,6.44,16.99825172,1.99409389,21.53,0.85,K0IV,,
8847,6.44,28.45193321,55.59767097,13.61,0.19,A5m,,
9685,6.45,31.14600838,-54.88162897,21.17,0.39,F2V,,
1402,6.46,4.38621007,-19.05108585,20.47,0.39,F3V,,
7283,6.46,23.45214999,89.01571833,10.15,0.11,A3V,,
1499,6.47,4.67342336,-8.05265094,42.67,0.67,G0V,,
128,6.5,0.41376473,73.61187664,15.2,0.18,Am...,,
1444,6.51,4.49430346,-13.45563887,38.24,0.6,G2V,,
3730,6.51,11.97803517,20.92531069,17.41,0.52,F8V,,
3236,6.52,10.29977784,9.35530818,29.99,0.53,F5,,
5186,6.52,16.59452876,62.76146736,14.39,0.21,A5Vn,,
5985,6.52,19.24522939,-2.278818,33.68,0.56,F8,,
7339,6.52,23.64116285,68.94785738,47.65,0.69,G6V,,
3497,6.55,11.16268466,-65.64771794,45.76,0.66,G3V,,
5646,6.55,18.1281165,2.47183263,19.17,0.45,F8,,
10031,6.57,32.2820623,71.55258863,36.57,0.55,F8,,
1292,6.59,4.04683817,-79.85104079,56.76,0.75,G6V,,
5944,6.59,19.12226076,42.93949385,42.3,0.59,G0,,
6527,6.59,20.96176069,17.81844369,20.42,0.4,F0,,
6869,6.6,22.10121023,17.07934224,19.99,0.53,F8IV-V,,
7734,6.6,24.89931748,45.87832743,46.73,0.69,G5IV,,
9452,6.61,30.38932555,23.39545809,15.39,0.34,F0,,
3369,6.63,10.71149682,-9.92163939,24.48,0.53,F8,,
6237,6.65,20.01238711,-9.88360181,20.54,0.41,F2,,
1140,6.66,3.5612937,-55.06959061,21.62,0.46,F5IV/V,,
6878,6.66,22.14299164,42.26792878,29.26,0.51,F8,,
3142,6.68,9.98996521,-33.96118617,24.12,0.52,F7V,,
4291,6.68,13.74796307,-74.30263442,20.41,0.99,K0IV,,
2843,6.72,9.0071737,-5.57045671,21.19,0.47,F5,,
7370,6.74,23.74216541,33.11818983,20.91,0.63,G0,,
4127,6.76,13.215928,40.24544245,23.82,0.59,G0,,
7585,6.77,24.42002999,12.07836601,38.86,0.65,G5V,,
8859,6.77,28.49080201,10.61472078,23.97,0.47,F5V,,
7143,6.78,23.01271973,16.94770727,17.15,0.93,G5,,
2888,6.79,9.15680392,-49.13200111,22.79,0.64,G0/G1V,,
1955,6.81,6.18462337,-51.04324736,28.91,0.6,G3IV,,
4878,6.83,15.67751329,9.13301281,16.55,0.5,F5,,
5016,6.84,16.06973676,54.20439985,16.06,0.53,G0,,
9414,6.84,30.23639524,-78.8701676,21.86,0.58,F8/G0V,,
6551,6.85,21.05079037,-31.81177683,20.01,0.57,F8V,,
3961,6.86,12.71847773,-71.15152645,25.74,0.45,F5V,,
9151,6.87,29.48075757,40.76081521,22.65,0.5,F5,,
4868,6.88,15.64821189,27.74793166,22.39,0.45,F7V,,
9469,6.88,30.45878638,-63.62275719,13.77,0.56,F8IV,,
9911,6.88,31.89341053,-0.61658189,27.04,0.62,G2V,,
1147,6.89,3.5868599,-21.19639424,18.19,0.5,F7V,,
5631,6.89,18.08000516,12.28194637,29.64,0.49,F5,,
8734,6.89,28.09309303,37.43009231,18.03,0.44,F8,,
9829,6.89,31.62599843,24.33435081,43.14,0.66,G2V,,
2710,6.9,8.61338867,-6.50369569,24.09,0.48,F2,,
3509,6.9,11.19905823,67.15832122,21.8,0.49,F8,,
4637,6.9,14.88446436,48.96641596,17.31,0.41,F5,,
6733,6.9,21.67921463,43.69197059,16.13,0.39,F2,,
6862,6.9,22.07964796,30.55784315,22.52,0.51,F5,,
7357,6.9,23.70309634,0.94542483,27.26,0.53,F8V,,
2841,6.91,9.00332958,-59.71719483,16.71,0.37,F2V,,
4772,6.91,15.32893461,-60.86038649,22.23,0.65,G1/G2V,,
5943,6.91,19.12042232,-67.43109197,16.79,0.38,F2IV/V,,
9406,6.92,30.20586364,-8.47158346,17.57,0.96,G5,,
159,6.93,0.51081115,-2.76616306,16.92,0.29,A3,,
9052,6.93,29.15634973,-81.49928857,13.66,0.38,F3IV/V,,
6369,6.94,20.45364903,-66.38411535,12.26,0.22,A0m...,,
3267,6.95,10.39382484,65.86836175,20.99,0.58,F8,,
6405,6.96,20.57305873,18.68271329,39.07,0.63,G3V,,
1598,6.97,5.00213822,38.22806865,40.25,0.64,G0,,
7235,6.97,23.31514505,-24.17757411,51.27,0.77,K0V,,
3979,6.98,12.79456039,-5.03898875,45.27,0.66,G0,,
2944,6.99,9.34217573,-37.28798048,22.29,0.72,G8V,,
6679,6.99,21.41935034,2.97208511,19.55,0.44,F0,,
7564,6.99,24.35512689,25.16827394,23.8,0.9,K0IV,,
3540,7.01,11.29502236,0.25340728,24.27,0.54,F8,,
5280,7.01,16.88291179,-41.74654669,29.65,0.57,F8V,,
755,7.02,2.31906353,65.07079864,17.03,0.93,K0,,
1573,7.03,4.90192752,-7.2236756,21.59,0.51,F5,,
3293,7.03,10.50597309,40.6884102,20.38,0.45,F5,,
5977,7.03,19.20972157,21.05204582,16.53,0.41,F6V,,
669,7.04,2.06820906,-14.82446576,36.18,0.62,G2/G3V,,
58,7.05,0.17376341,62.17600484,26.06,0.52,G0,,
606,7.06,1.84336535,-25.35632439,20.63,0.46,F5V,,
9473,7.06,30.46832359,7.86448845,21.43,0.51,F2,,
759,7.07,2.33100682,17.53423872,19.28,0.64,G2III,,
6221,7.07,19.93874208,-68.89849097,18.84,0.51,F6V,,
8548,7.07,27.56381549,-6.70418331,23.26,0.57,F8,,
7699,7.08,24.78136774,-56.42929868,20.37,0.47,F5V,,
2239,7.1,7.11006492,-29.28464781,17.88,0.5,F5V,,
3006,7.11,9.56130273,84.67502086,24.8,0.55,F8,,
6643,7.12,21.30145418,28.56707875,22.65,0.58,F8,,
462,7.13,1.37961808,-9.61729691,19.81,0.45,F5,,
8398,7.13,27.08442078,-41.49543661,22.16,0.64,G4V,,
9269,7.14,29.77693064,33.21053783,40.74,0.77,G5,,
3850,7.15,12.36015525,-23.21277388,53.09,0.77,G8/K0V,,
4148,7.15,13.25298157,-30.35699137,71.01,0.94,K2V,,
7446,7.15,23.97042741,-17.5319768,23.3,0.71,G6IV,,
6439,7.16,20.679752,17.19699142,19.52,0.47,F5V,,
5623,7.17,18.04322839,-73.90714356,16.15,0.59,F8/G0V,,
6379,7.17,20.49667464,76.7103681,59.46,0.83,K0,,
7404,7.17,23.85901886,-13.38112035,27.36,0.59,G0V,,
5099,7.18,16.34125379,-40.26995916,18.21,0.42,F3V,,
5784,7.18,18.54367268,58.81244629,23.31,0.55,F5,,
6943,7.18,22.35975641,42.28205058,22.04,0.45,F5,,
3533,7.19,11.26559075,75.93802855,26.87,0.76,G5,,
1427,7.21,4.45769929,16.33108213,21.66,0.48,F6V,,
